winery,vintage,year,region,rating,ratings_count,country_rank,region_rank,winery_rank,global_rank,foods,alcohol,drink_from,drink_until,style,body,body_desc,acidity,acidity_desc,grapes,price,highlights
Altavins,alAlmod&#237;Negre,2019,TerraAlta,3.9,294,5,3,4,6,"['Beef', 'Pasta', 'Veal', 'Poultry']",,,,Spanish Red,4,Full-bodied,3,High,Grenache,12.95,['Among top 6% of all wines in the world']
Altavins,JornNouPetitTinto,2020,TerraAlta,4.2,37,6,4,10,7,"['Beef', 'Pasta', 'Veal', 'Poultry']",,,,Spanish Red,,,,,,9.2,"['Great value for money. Similar wines usually cost 3 times as much.', 'This vintage rates better than any other year for this wine', 'Oldest vintage available']"
AltoMoncayo,AquilonGarnacha,2015,CampodeBorja,4.6,105,1,1,6,1,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",16,2020,2028,Spanish Grenache,5,Very full-bodied,3,High,Grenache,112.5,['5 by Grenaches du Monde']
AltoMoncayo,Garnacha,2017,CampodeBorja,4.5,1502,1,1,8,1,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",16,2020,2029,Spanish Grenache,5,Very full-bodied,3,High,Grenache,43.95,['Among top 1% of all wines in the world']
AltoMoncayo,VeratonGarnacha,2018,CampodeBorja,4.2,1315,1,2,46,1,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",15.5,2020,2028,Spanish Grenache,5,Very full-bodied,3,High,Garnacha,30.43,['Good value for money. Similar wines usually cost 51% more.']
AltosdeRioja,AltosRPigeageGraciano,2014,Rioja,3.9,49,13,15,25,13,"['Beef', 'Lamb', 'Veal', 'Poultry']",,,,Spanish Rioja Red,4,Full-bodied,3,High,Graciano,28.9,['Popular among Vivino users. More than 40 ratings']
AltosIb&#233;ricos,Crianza,2016,Rioja,3.8,7924,7,9,4,7,"['Beef', 'Lamb', 'Veal', 'Poultry']",14,,,Spanish Rioja Red,4,Full-bodied,3,High,Tempranillo,12.55,['Popular among Vivino users. More than 7900 ratings']
AltosIb&#233;ricos,Crianza,2017,Rioja,3.9,3063,5,6,2,5,"['Beef', 'Lamb', 'Veal', 'Poultry']",14,,,Spanish Rioja Red,4,Full-bodied,3,High,Tempranillo,12.55,"['Good value for money. Similar wines usually cost 43% more.', 'Among top 5% of all wines in the world']"
AltosIb&#233;ricos,Reserva,2015,Rioja,3.7,419,10,13,27,11,"['Beef', 'Lamb', 'Veal', 'Poultry']",14,,,Spanish Rioja Red,4,Full-bodied,3,High,Tempranillo,10.95,[]
Alt&#250;n,Crianza,2018,Rioja,4.2,126,2,2,5,2,"['Beef', 'Lamb', 'Veal', 'Poultry']",14,,,Spanish Tempranillo,4,Full-bodied,2,Medium,Tempranillo,13.73,"['Great value for money. Similar wines usually cost 2 times as much.', 'This vintage rates better than any other year for this wine', 'Among top 2% of all wines in the world']"
Alt&#250;n,Reserva,2014,Rioja,4,80,6,7,17,6,"['Beef', 'Lamb', 'Veal', 'Poultry']",14,,,Spanish Tempranillo,4,Full-bodied,2,Medium,Tempranillo,19.95,[]
Alt&#250;n,VillacardielTempranillo,2018,Rioja,4.2,107,2,2,6,2,"['Beef', 'Lamb', 'Veal', 'Poultry']",,,,Spanish Rioja Red,4,Full-bodied,3,High,,16.6,"['Great value for money. Similar wines usually cost 2 times as much.', 'This vintage rates better than any other year for this wine', 'Popular among Vivino users. More than 100 ratings']"
&#193;lvaroPalacios,CaminsdelPriorat,2019,Priorat,4.1,3569,2,9,33,2,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Priorat Red,4,Full-bodied,3,High,Cari&#241;ena,21.65,['92 by Gu&#237;a ABC']
&#193;lvaroPalacios,CaminsdelPriorat,2020,Priorat,4.1,1545,2,9,34,2,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Priorat Red,4,Full-bodied,3,High,Garnacha,21.65,['Good value for money. Similar wines usually cost 61% more.']
&#193;lvaroPalacios,CaminsdelPriorat,2018,Priorat,4.1,4072,2,9,33,2,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,2019,2024,Spanish Priorat Red,4,Full-bodied,3,High,Cari&#241;ena,21.65,[]
&#193;lvaroPalacios,FincaDof&#237;,2019,Priorat,4.4,81,1,4,20,1,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Priorat Red,4,Full-bodied,3,High,Garnacha,90.9,[]
&#193;lvaroPalacios,FincaDof&#237;,2013,Priorat,4.3,603,1,3,15,1,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Priorat Red,4,Full-bodied,3,High,Garnacha,90.9,"[""Featured in Vivino's 2020 Wine Style Awards: Spanish Priorat Red""]"
&#193;lvaroPalacios,FincaDof&#237;,1999,Priorat,4.4,64,2,7,29,2,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",13.5,,,Spanish Priorat Red,4,Full-bodied,3,High,,90.9,[]
&#193;lvaroPalacios,FincaDof&#237;,2010,Priorat,4.3,263,1,3,17,1,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Priorat Red,4,Full-bodied,3,High,,90.9,[]
&#193;lvaroPalacios,FincaDof&#237;,2007,Priorat,4.3,209,1,4,18,1,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Priorat Red,4,Full-bodied,3,High,Grenache,90.9,[]
